tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length1	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status	TPM
CUFF.1463	-	-	CUFF.1463	-	-	ENSFCAT00000000094	1510-2752	ENSFCAT00000000094:1510-2752	-	1.00831	0.478713	1.49598	OK	0.459479785
CUFF.1770	-	-	CUFF.1770	-	-	ENSFCAT00000026388	167-1115	ENSFCAT00000026388:167-1115	-	1.10789	0.470381	1.72473	OK	0.504857692
CUFF.8913	-	-	CUFF.8913	-	-	ENSFCAT00000029851	3181-4124	ENSFCAT00000029851:3181-4124	-	1.11545	0.472875	1.73388	OK	0.50830273
CUFF.5533	-	-	CUFF.5533	-	-	ENSFCAT00000012879	4065-4935	ENSFCAT00000012879:4065-4935	-	1.12622	0.427128	1.79394	OK	0.513210544
CUFF.11323	-	-	CUFF.11323	-	-	ENSFCAT00000011918	53094-54214	ENSFCAT00000011918:53094-54214	-	1.1435	0.530859	1.72529	OK	0.521084918
CUFF.12231	-	-	CUFF.12231	-	-	ENSFCAT00000003613	121-973	ENSFCAT00000003613:121-973	-	1.1578	0.436152	1.83184	OK	0.527601328
CUFF.8551	-	-	CUFF.8551	-	-	ENSFCAT00000027162	144-1054	ENSFCAT00000027162:144-1054	-	1.16804	0.490024	1.79675	OK	0.532267624
CUFF.503	-	-	CUFF.503	-	-	ENSFCAT00000024444	455-1492	ENSFCAT00000024444:455-1492	-	1.1684	0.573348	1.79171	OK	0.532431674
CUFF.2892	-	-	CUFF.2892	-	-	ENSFCAT00000004106	336-1362	ENSFCAT00000004106:336-1362	-	1.18415	0.579495	1.81092	OK	0.539608838
CUFF.5432	-	-	CUFF.5432	-	-	ENSFCAT00000009628	7036-7868	ENSFCAT00000009628:7036-7868	-	1.19503	0.446636	1.87587	OK	0.544566777
CUFF.2471	-	-	CUFF.2471	-	-	ENSFCAT00000027549	1400-2351	ENSFCAT00000027549:1400-2351	-	1.20371	0.468897	1.87559	OK	0.548522193
CUFF.4140	-	-	CUFF.4140	-	-	ENSFCAT00000009281	3124-3946	ENSFCAT00000009281:3124-3946	-	1.21456	0.45207	1.89869	OK	0.553466461
CUFF.1664	-	-	CUFF.1664	-	-	ENSFCAT00000004406	262-1688	ENSFCAT00000004406:262-1688	-	1.22246	0.677534	1.71989	OK	0.557066436
CUFF.5144	-	-	CUFF.5144	-	-	ENSFCAT00000032407	387-1567	ENSFCAT00000032407:387-1567	-	1.22601	0.629833	1.76353	OK	0.558684146
CUFF.7040	-	-	CUFF.7040	-	-	ENSFCAT00000010910	1351-2225	ENSFCAT00000010910:1351-2225	-	1.23138	0.510208	1.87076	OK	0.561131217
CUFF.11064	-	-	CUFF.11064	-	-	ENSFCAT00000014563	188-1302	ENSFCAT00000014563:188-1302	-	1.23331	0.600433	1.8013	OK	0.562010705
CUFF.10428	-	-	CUFF.10428	-	-	ENSFCAT00000004655	1197-2007	ENSFCAT00000004655:1197-2007	-	1.23886	0.458767	2.01857	OK	0.564539801
CUFF.4878	-	-	CUFF.4878	-	-	ENSFCAT00000015684	2316-3185	ENSFCAT00000015684:2316-3185	-	1.24072	0.513143	1.96705	OK	0.56538739
