tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status	TPM
CUFF.286	-	-	CUFF.286	-	-	ENSMUST00000041965	4064-4741	-	80.7152	28.2418	129.912	OK	8.804638846
CUFF.2036	-	-	CUFF.2036	-	-	ENSMUST00000034280	180-826	-	86.3665	29.5971	142.066	OK	9.421098392
CUFF.2106	-	-	CUFF.2106	-	-	ENSMUST00000033899	1114-2290	-	90.4138	48.7748	126.815	OK	9.862589149
CUFF.584	-	-	CUFF.584	-	-	ENSMUST00000091291	2937-3666	-	94.5517	41.9637	131.137	OK	10.31396281
CUFF.633	-	-	CUFF.633	-	-	ENSMUST00000165111	841-2095	-	94.6199	54.8892	134.174	OK	10.32140225
CUFF.704	-	-	CUFF.704	-	-	ENSMUST00000077666	1719-2520	-	95.9572	42.9657	143.219	OK	10.46727866
CUFF.649	-	-	CUFF.649	-	-	ENSMUST00000018851	2031-2750	-	96.3849	42.5474	132.961	OK	10.51393337
CUFF.1105	-	-	CUFF.1105	-	-	ENSMUST00000024733	89-687	-	96.8681	31.9728	153.469	OK	10.56664217
CUFF.746	-	-	CUFF.746	-	-	ENSMUST00000191104	4383-5286	-	98.3641	46.5818	148.215	OK	10.72983002
CUFF.1791	-	-	CUFF.1791	-	-	ENSMUST00000102973	50-797	-	98.4542	40.9526	148.453	OK	10.73965838
CUFF.1122	-	-	CUFF.1122	-	-	ENSMUST00000037383	22-613	-	98.6168	32.3515	155.287	OK	10.75739524
CUFF.1970	-	-	CUFF.1970	-	-	ENSMUST00000032185	1234-1822	-	99.3858	32.5165	156.079	OK	10.8412799
CUFF.2673	-	-	CUFF.2673	-	-	ENSMUST00000084117	1523-2341	-	99.5239	46.7475	144.917	OK	10.85634423
CUFF.154	-	-	CUFF.154	-	-	ENSMUST00000039327	438-1092	-	101.8	35.0821	157.869	OK	11.10462756
CUFF.1987	-	-	CUFF.1987	-	-	ENSMUST00000026270	311-1226	-	102.078	50.1501	150.45	OK	11.13495258
CUFF.1259	-	-	CUFF.1259	-	-	ENSMUST00000041375	1364-1979	-	102.156	37.3068	143.009	OK	11.14346103
CUFF.2694	-	-	CUFF.2694	-	-	ENSMUST00000032322	1090-1919	-	103.885	50.7399	156.833	OK	11.33206517
CUFF.421	-	-	CUFF.421	-	-	ENSMUST00000021332	35-639	-	104.96	37.9862	145.614	OK	11.44932916
CUFF.1714	-	-	CUFF.1714	-	-	ENSMUST00000163192	498-1065	-	105.123	33.7209	161.86	OK	11.46710966
CUFF.1592	-	-	CUFF.1592	-	-	ENSMUST00000022960	52-726	-	105.598	45.3881	164.532	OK	11.51892398
CUFF.1195	-	-	CUFF.1195	-	-	ENSMUST00000117518	31-992	-	105.974	55.7078	151.207	OK	11.55993911
CUFF.270	-	-	CUFF.270	-	-	ENSMUST00000023203	445-1151	-	106.483	43.3308	157.074	OK	11.61546225
CUFF.1909	-	-	CUFF.1909	-	-	ENSMUST00000105578	372-933	-	106.886	34.0815	163.591	OK	11.65942261
CUFF.1317	-	-	CUFF.1317	-	-	ENSMUST00000064856	7-602	-	107.371	38.5608	147.816	OK	11.71232776
CUFF.1461	-	-	CUFF.1461	-	-	ENSMUST00000005234	964-1801	-	108.608	50.255	159.902	OK	11.84726316
CUFF.1367	-	-	CUFF.1367	-	-	ENSMUST00000077191	43-629	-	109.896	39.153	150.087	OK	11.98776179
CUFF.1419	-	-	CUFF.1419	-	-	ENSMUST00000166429	133-718	-	110.183	39.22	150.343	OK	12.01906855
CUFF.525	-	-	CUFF.525	-	-	ENSMUST00000001416	107-829	-	110.57	47.6669	158.89	OK	12.06128359
CUFF.2817	-	-	CUFF.2817	-	-	ENSMUST00000137119	1429-2355	-	111.106	57.8134	156.922	OK	12.11975196
CUFF.118	-	-	CUFF.118	-	-	ENSMUST00000004173	4-582	-	112.242	39.6949	152.164	OK	12.24367001
CUFF.2539	-	-	CUFF.2539	-	-	ENSMUST00000108496	865-1643	-	113.103	54.0661	167.113	OK	12.33759029
CUFF.2661	-	-	CUFF.2661	-	-	ENSMUST00000077977	857-1432	-	113.147	39.902	152.958	OK	12.34238993
CUFF.98	-	-	CUFF.98	-	-	ENSMUST00000080723	455-1295	-	114.101	54.6278	168.436	OK	12.44645491
CUFF.2713	-	-	CUFF.2713	-	-	ENSMUST00000027127	1529-2200	-	114.451	45.591	165.267	OK	12.48463388
CUFF.861	-	-	CUFF.861	-	-	ENSMUST00000025444	180-1951	-	114.639	77.7312	151.144	OK	12.50514144
CUFF.2907	-	-	CUFF.2907	-	-	ENSMUST00000110965	112-715	-	114.788	38.0492	171.221	OK	12.52139478
CUFF.1465	-	-	CUFF.1465	-	-	ENSMUST00000060253	49-918	-	114.875	57.2052	158.414	OK	12.53088498
CUFF.1545	-	-	CUFF.1545	-	-	ENSMUST00000084820	618-1387	-	114.903	54.6988	169.069	OK	12.5339393
CUFF.1865	-	-	CUFF.1865	-	-	ENSMUST00000179939	18-853	-	115.004	54.9549	169.444	OK	12.54495666
CUFF.2431	-	-	CUFF.2431	-	-	ENSMUST00000133426	115-1213	-	115.39	66.1703	163.684	OK	12.58706262
CUFF.1703	-	-	CUFF.1703	-	-	ENSMUST00000075666	1248-1879	-	116.214	48.4811	175.744	OK	12.67694683
CUFF.1941	-	-	CUFF.1941	-	-	ENSMUST00000178092	5-603	-	116.242	38.3673	172.653	OK	12.68000115
CUFF.1041	-	-	CUFF.1041	-	-	ENSMUST00000025270	457-1350	-	116.422	59.9499	162.721	OK	12.69963605
CUFF.735	-	-	CUFF.735	-	-	ENSMUST00000081121	269-930	-	116.951	46.2807	167.768	OK	12.75734084
CUFF.2455	-	-	CUFF.2455	-	-	ENSMUST00000003964	787-2197	-	117.245	73.2245	157.297	OK	12.78941118
CUFF.1318	-	-	CUFF.1318	-	-	ENSMUST00000064856	715-1469	-	118.032	55.787	172.433	OK	12.87525933
CUFF.1677	-	-	CUFF.1677	-	-	ENSMUST00000081496	581-1140	-	118.236	41.0441	157.336	OK	12.89751222
CUFF.591	-	-	CUFF.591	-	-	ENSMUST00000049031	26-811	-	118.316	53.584	170.494	OK	12.90623885
CUFF.2714	-	-	CUFF.2714	-	-	ENSMUST00000056089	4-627	-	118.428	49.1036	178.001	OK	12.91845612
CUFF.1360	-	-	CUFF.1360	-	-	ENSMUST00000029259	1257-2039	-	118.929	53.7895	171.148	OK	12.97310659
CUFF.1294	-	-	CUFF.1294	-	-	ENSMUST00000002599	330-853	-	119.589	36.5578	175.477	OK	13.04510123
CUFF.2547	-	-	CUFF.2547	-	-	ENSMUST00000043359	1543-2066	-	119.589	36.5578	175.477	OK	13.04510123
CUFF.2449	-	-	CUFF.2449	-	-	ENSMUST00000045277	218-994	-	120.175	54.2054	172.472	OK	13.10902374
CUFF.852	-	-	CUFF.852	-	-	ENSMUST00000032371	1519-2104	-	120.2	39.22	176.49	OK	13.11175081
CUFF.2738	-	-	CUFF.2738	-	-	ENSMUST00000100046	431-1142	-	120.497	53.7826	166.726	OK	13.1441484
CUFF.2231	-	-	CUFF.2231	-	-	ENSMUST00000110416	1454-2355	-	120.567	63.6617	169.765	OK	13.1517842
CUFF.728	-	-	CUFF.728	-	-	ENSMUST00000033673	479-1347	-	120.8	61.6765	167.408	OK	13.17720049
CUFF.2593	-	-	CUFF.2593	-	-	ENSMUST00000040706	696-1374	-	120.818	50.7603	169.201	OK	13.17916398
CUFF.771	-	-	CUFF.771	-	-	ENSMUST00000166360	4-1125	-	120.832	71.635	167.148	OK	13.18069113
CUFF.1209	-	-	CUFF.1209	-	-	ENSMUST00000141837	83-919	-	120.866	59.4633	164.668	OK	13.18439995
CUFF.1361	-	-	CUFF.1361	-	-	ENSMUST00000026479	27-828	-	121.546	57.2876	176.637	OK	13.25857624
CUFF.2260	-	-	CUFF.2260	-	-	ENSMUST00000099466	1227-1994	-	122.093	54.8415	174.496	OK	13.31824453
CUFF.1388	-	-	CUFF.1388	-	-	ENSMUST00000029405	869-1385	-	122.265	37.0537	177.858	OK	13.33700677
CUFF.869	-	-	CUFF.869	-	-	ENSMUST00000060991	58-604	-	122.72	42.0214	161.082	OK	13.38663943
CUFF.1193	-	-	CUFF.1193	-	-	ENSMUST00000033828	845-1359	-	123.052	37.1979	178.55	OK	13.42285492
CUFF.445	-	-	CUFF.445	-	-	ENSMUST00000001451	896-1564	-	123.417	51.5202	171.734	OK	13.46267013
CUFF.2952	-	-	CUFF.2952	-	-	ENSMUST00000002403	30-604	-	123.766	39.9716	179.872	OK	13.50074003
CUFF.1076	-	-	CUFF.1076	-	-	ENSMUST00000042780	1919-2987	-	123.816	71.6095	168.282	OK	13.50619417
CUFF.1028	-	-	CUFF.1028	-	-	ENSMUST00000028278	32-544	-	123.849	37.3432	179.247	OK	13.5097939
CUFF.1216	-	-	CUFF.1216	-	-	ENSMUST00000148750	2478-3019	-	124.537	42.4097	162.571	OK	13.58484285
CUFF.1950	-	-	CUFF.1950	-	-	ENSMUST00000052505	46-555	-	125.065	37.5633	180.304	OK	13.64243857
CUFF.2648	-	-	CUFF.2648	-	-	ENSMUST00000027487	606-1267	-	125.305	52.0658	173.553	OK	13.66861843
CUFF.2234	-	-	CUFF.2234	-	-	ENSMUST00000074085	60-629	-	125.458	40.3228	181.453	OK	13.6853081
CUFF.2842	-	-	CUFF.2842	-	-	ENSMUST00000046835	2884-3392	-	125.475	37.6373	180.659	OK	13.68716251
CUFF.1274	-	-	CUFF.1274	-	-	ENSMUST00000050993	462-1122	-	125.579	52.1447	173.816	OK	13.69850712
CUFF.2167	-	-	CUFF.2167	-	-	ENSMUST00000111147	57-656	-	125.61	51.0711	185.133	OK	13.70188868
CUFF.914	-	-	CUFF.914	-	-	ENSMUST00000058444	584-2003	-	125.813	80.8445	167.079	OK	13.72403249
CUFF.2222	-	-	CUFF.2222	-	-	ENSMUST00000043169	1320-1827	-	125.888	37.7115	181.015	OK	13.7322137
CUFF.1215	-	-	CUFF.1215	-	-	ENSMUST00000148750	1355-1892	-	126.03	42.7256	163.782	OK	13.74770345
CUFF.1224	-	-	CUFF.1224	-	-	ENSMUST00000023100	3-722	-	126.042	58.5026	180.826	OK	13.74901245
CUFF.323	-	-	CUFF.323	-	-	ENSMUST00000076454	1120-1656	-	126.408	42.8054	164.087	OK	13.78893675
CUFF.2278	-	-	CUFF.2278	-	-	ENSMUST00000124505	2338-3116	-	126.41	58.9812	181.859	OK	13.78915491
CUFF.1740	-	-	CUFF.1740	-	-	ENSMUST00000064099	159-967	-	126.462	61.5239	170.374	OK	13.79482722
CUFF.1957	-	-	CUFF.1957	-	-	ENSMUST00000090006	689-1557	-	126.553	66.082	176.219	OK	13.80475375
CUFF.116	-	-	CUFF.116	-	-	ENSMUST00000030158	26-561	-	126.789	42.8854	164.394	OK	13.83049729
CUFF.1087	-	-	CUFF.1087	-	-	ENSMUST00000089049	74-698	-	127.235	49.0249	177.715	OK	13.87914821
CUFF.774	-	-	CUFF.774	-	-	ENSMUST00000061799	972-1711	-	128.474	56.9194	181.107	OK	14.01430178
CUFF.1689	-	-	CUFF.1689	-	-	ENSMUST00000131070	516-1671	-	128.569	76.1478	178.782	OK	14.02466465
CUFF.1710	-	-	CUFF.1710	-	-	ENSMUST00000098799	938-1617	-	128.601	56.3173	174.584	OK	14.02815529
CUFF.1335	-	-	CUFF.1335	-	-	ENSMUST00000160399	367-897	-	128.73	43.2899	165.945	OK	14.04222697
CUFF.2758	-	-	CUFF.2758	-	-	ENSMUST00000038696	1855-2443	-	129.201	52.0265	188.596	OK	14.09360497
CUFF.484	-	-	CUFF.484	-	-	ENSMUST00000020843	1605-2666	-	129.284	75.686	180.205	OK	14.10265884
CUFF.1593	-	-	CUFF.1593	-	-	ENSMUST00000107237	370-869	-	129.293	38.3161	183.917	OK	14.10364058
CUFF.2752	-	-	CUFF.2752	-	-	ENSMUST00000137519	373-931	-	129.348	41.1177	185.03	OK	14.10964014
CUFF.38	-	-	CUFF.38	-	-	ENSMUST00000024811	38-743	-	129.559	59.6644	184.417	OK	14.1326566
CUFF.2501	-	-	CUFF.2501	-	-	ENSMUST00000015501	975-1473	-	129.732	38.393	184.287	OK	14.15152792
CUFF.218	-	-	CUFF.218	-	-	ENSMUST00000014642	25-670	-	129.843	53.3574	177.858	OK	14.16363611
CUFF.409	-	-	CUFF.409	-	-	ENSMUST00000107308	168-695	-	129.922	43.5364	166.889	OK	14.17225365
CUFF.1272	-	-	CUFF.1272	-	-	ENSMUST00000100171	3-1089	-	129.955	73.9437	176.056	OK	14.17585339
CUFF.1869	-	-	CUFF.1869	-	-	ENSMUST00000031423	278-1187	-	130.037	67.3082	168.27	OK	14.18479817
CUFF.2703	-	-	CUFF.2703	-	-	ENSMUST00000002043	189-774	-	130.217	52.2933	189.563	OK	14.20443308
CUFF.2636	-	-	CUFF.2636	-	-	ENSMUST00000024829	649-1966	-	130.468	81.2988	174.212	OK	14.23181286
CUFF.1451	-	-	CUFF.1451	-	-	ENSMUST00000074913	306-831	-	130.73	43.7022	167.525	OK	14.26039254
CUFF.2775	-	-	CUFF.2775	-	-	ENSMUST00000132945	989-2242	-	131.137	79.3476	180.058	OK	14.30478924
CUFF.888	-	-	CUFF.888	-	-	ENSMUST00000025632	14-538	-	131.138	43.7856	167.845	OK	14.30489832
CUFF.1969	-	-	CUFF.1969	-	-	ENSMUST00000032185	430-983	-	131.197	41.4895	186.703	OK	14.31133421
CUFF.2929	-	-	CUFF.2929	-	-	ENSMUST00000185306	60-554	-	131.516	38.7039	185.779	OK	14.34613161
CUFF.1866	-	-	CUFF.1866	-	-	ENSMUST00000179939	1766-2463	-	131.658	60.3492	186.534	OK	14.36162137
CUFF.358	-	-	CUFF.358	-	-	ENSMUST00000025649	230-1072	-	131.704	68.1225	181.66	OK	14.36663918
CUFF.2105	-	-	CUFF.2105	-	-	ENSMUST00000033899	48-686	-	131.934	53.9428	179.809	OK	14.39172822
CUFF.303	-	-	CUFF.303	-	-	ENSMUST00000092956	2278-2800	-	131.96	43.9534	168.488	OK	14.39456437
CUFF.438	-	-	CUFF.438	-	-	ENSMUST00000040576	101-738	-	132.238	54.0275	180.092	OK	14.42488939
CUFF.2849	-	-	CUFF.2849	-	-	ENSMUST00000110974	364-943	-	132.296	52.8352	191.527	OK	14.43121619
CUFF.444	-	-	CUFF.444	-	-	ENSMUST00000001451	128-649	-	132.376	44.0378	168.811	OK	14.43994281
CUFF.2466	-	-	CUFF.2466	-	-	ENSMUST00000102672	74-854	-	132.601	63.7324	176.49	OK	14.46448644
CUFF.1337	-	-	CUFF.1337	-	-	ENSMUST00000020034	343-920	-	133.004	53.0183	192.191	OK	14.5084468
CUFF.1117	-	-	CUFF.1117	-	-	ENSMUST00000089860	1111-1745	-	133.159	54.2831	180.944	OK	14.52535463
CUFF.1830	-	-	CUFF.1830	-	-	ENSMUST00000074002	241-875	-	133.159	54.2831	180.944	OK	14.52535463
